Joint,U1,U2,U3,R1,R2,R3
138,0.000036,-0.000352,-0.002233,-0.00024,0.000103,-0.000842
139,0.005517,0.00015,0.000689,0.012219,0.037784,0.016128
139,0.000036,-0.001425,-0.000209,-0.000757,0.000115,-0.001
140,0.00612,0.000199,0.002193,0.005714,0.034137,0.008524
140,0.000041,-0.002229,-0.000204,-0.001383,0.000126,-0.000495
141,0.006698,0.000213,0.003548,0.002003,0.029287,0.002475
141,0.000042,-0.002332,-0.000201,-0.001641,0.000136,0.000007592
142,0.007159,0.000181,0.004433,0.000121,0.02471,0.001826
142,0.000031,-0.001941,-0.000203,-0.001507,0.000141,-0.000225
143,0.007502,0.000147,0.005007,0.000112,0.021601,0.002023
143,0.000009811,-0.001296,-0.000208,-0.001201,0.000121,-0.000291
144,0.007725,0.000161,0.005357,0.000099,0.020126,0.00159
144,-0.000011,-0.000531,-0.000215,-0.000802,0.000073,-0.000218
145,0.007817,0.000295,0.005511,0.000094,0.019993,0.000896
145,-0.000025,-0.000036,-0.000222,-0.000512,0.000023,-0.00011
146,0.007788,0.001104,0.005465,0.000096,0.020803,0.000992
146,-0.000029,-0.000043,-0.000229,-0.000444,-0.000005894,-0.000223
147,0.007657,0.001878,0.005199,0.000097,0.022672,0.001587
147,-0.000027,-0.000048,-0.000236,-0.000455,-0.000012,-0.000828
148,0.00741,0.002537,0.004674,0.000207,0.025679,0.000858
148,-0.000022,-0.000052,-0.000242,-0.001192,-0.000006172,-0.001458
149,0.006989,0.002913,0.003807,0.00022,0.02983,0.000039
149,-0.000015,-0.000055,-0.000247,-0.00317,0.000003551,-0.002891
150,0.006385,0.002738,0.002463,0.000073,0.034243,0.000025
150,-0.000009098,-0.000057,-0.000251,-0.006859,0.000012,-0.009977
151,0.005735,0.001834,0.000984,0.000058,0.037728,0.000014
151,-0.000002863,-0.000059,-0.000255,-0.013137,0.00002,-0.017516
152,0.005241,0.000655,0.000094,0.000041,0.038643,0.00002
152,0.000003541,-0.000059,-0.001898,-0.024088,0.000024,-0.021793
153,0.005142,0.000072,-0.000244,0.000028,0.037082,0.000042
153,0.00001,-0.001598,-0.004669,-0.047314,0.000025,-0.025394
154,0.005673,0.000012,-0.000261,0.000024,0.02013,0.000066
154,0.000016,-0.003683,-0.00754,-0.084565,0.000025,-0.025344
155,0.006805,-0.000045,-0.000262,0.000024,0.006749,0.000073
